start;end;flesch_kincaid_grade;confidence
18820;18846;6.620000000000001;0.9046765646013448
18850;19000;5.148030303030307;0.7056887761489077
19005;19240;2.535230769230772;0.3524782433705057
19245;19266;-5.174999999999999;0.28988542463551503
19271;20786;12.415256410256411;0.7104188312516887
20791;21093;10.7741935483871;0.758729536718568
21098;21137;0.1999999999999993;0.03679076199643599
21139;21254;9.736;0.8026956487071378
21259;22468;8.80076923076923;0.8574067210543795
22473;22519;1.5731818181818191;0.22242394025113946
22524;22576;-1.6449999999999996;0.14918436234752241
22581;22646;4.191153846153846;0.576333715125548
22651;22725;3.6897058823529427;0.5085456203392639
22730;22745;8.400000000000002;0.8874135003572207
22747;22757;8.790000000000003;0.8581521435597127
22761;22865;0.048666666666667524;0.016332810055489755
22870;23323;4.6234466019417475;0.6347730835550294
23328;23523;0.28500000000000014;0.04828146187516154
23528;23769;5.326415094339623;0.7298036714414303
23774;23843;2.2816666666666663;0.31820025510482935
23848;23897;-1.0599999999999987;0.10539314904532587
23902;23987;2.342222222222226;0.3263864399857519
23992;24929;9.670738916256159;0.8059639209422742
24934;24961;1.3133333333333361;0.18729639962366362
24963;24970;-3.3999999999999986;0.23680724581053972
24972;25005;10.350000000000001;0.7750530677919529
25009;25096;0.5199999999999996;0.08004986742222588
25101;25156;-3.6033333333333335;0.24420934218250312
25161;25183;-2.619999999999999;0.20394234093797828
25188;25545;3.1971506849315077;0.44195969154778086
25550;25739;0.1783636363636365;0.03386585657276054
25743;25771;-0.7392857142857139;0.07640494174146197
25776;26621;7.681086956521742;0.9561050924578107
26623;26644;1.3133333333333361;0.18729639962366362
26648;26737;3.0599999999999987;0.4234190167394326
26742;26842;3.11452380952381;0.4307898018157021
26847;26868;-4.586666666666666;0.27483428276011934
26873;26919;-0.5722727272727273;0.0595557279070378
26924;26944;-2.8149999999999995;0.21290474408622181
26949;27141;1.4691326530612265;0.20835808461546096
27146;27464;3.596352941176473;0.4959257305762625
27469;27499;-2.424999999999999;0.19440233849218352
27504;27527;-2.8149999999999995;0.21290474408622181
27532;27564;-2.0349999999999984;0.17335080314760443
27569;27795;4.655087719298248;0.6390504786535126
27797;27820;-0.0600000000000005;0.0016427388379817714
27824;27864;9.180000000000003;0.8330005955828178
27869;27917;0.5166666666666693;0.07959925174070764
27922;28020;1.1099999999999994;0.15980884305102588
28025;28051;-2.8149999999999995;0.21290474408622181
28056;28083;-0.7392857142857139;0.07640494174146197
28085;28092;-3.3999999999999986;0.23680724581053972
28094;28117;3.6700000000000017;0.5058816864573449
28121;28175;-2.0999999999999996;0.17705851804959166
28180;28193;-3.2049999999999983;0.22929459835728416
28198;28209;-3.2049999999999983;0.22929459835728416
28214;28310;4.262368421052631;0.585960836386171
28315;28336;-0.0600000000000005;0.0016427388379817714
28341;28411;1.495000000000001;0.21185495426642947
28416;28448;-0.754999999999999;0.07792417184916989
28453;28503;-0.5722727272727273;0.0595557279070378
28508;29185;9.537726027397259;0.8128486325338684
29190;29258;-2.619999999999999;0.20394234093797828
29263;29372;-0.4666666666666668;0.048191988019911765
29377;29497;2.5128571428571433;0.3494536713015869
29502;29914;9.580869565217395;0.8105818304235786
29919;32039;12.777477827050998;0.702089870385262
32043;32917;7.165528455284555;0.9784236676011038
32922;32988;2.6701538461538448;0.3707177796485905
32992;33008;0.7283333333333353;0.10821334751714144
33013;33035;-3.01;0.22134046272978333
33040;33053;-3.01;0.22134046272978333
33058;33084;-2.0349999999999984;0.17335080314760443
33089;33129;-0.347307692307691;0.03462126172430131
33134;33239;-2.128333333333332;0.1786484897607253
33244;33268;-0.6533333333333324;0.06789781693904877
33273;33303;-3.34611111111111;0.23477311796485453
33308;33327;-2.619999999999999;0.20394234093797828
33332;33439;-0.7142068965517243;0.07395757905042766
33444;33523;3.017500000000002;0.4176736668000704
33528;33599;0.2191176470588232;0.039375175463969445
33604;33887;10.87142857142857;0.755257101810461
33892;33942;-0.5722727272727273;0.0595557279070378
33947;34007;4.191153846153846;0.576333715125548
34012;34043;-2.424999999999999;0.19440233849218352
34048;34355;6.9957142857142856;0.9554673892753748
34360;34391;-1.3088888888888874;0.12529298519717014
34396;34445;-0.6599999999999966;0.06856985401973446
34450;34476;-2.424999999999999;0.19440233849218352
34481;34502;-0.6533333333333324;0.06789781693904877
34507;34534;-2.424999999999999;0.19440233849218352
34539;34567;-2.2299999999999986;0.18422704084161415
34572;34590;-3.01;0.22134046272978333
34595;34634;0.946428571428573;0.1376964878222184
34639;34673;0.7199999999999989;0.10708680831334443
34678;34690;-3.3999999999999986;0.23680724581053972
34692;34720;0.5199999999999996;0.08004986742222588
34724;34847;-1.8245000000000005;0.1607366473204619
34852;34881;-0.6533333333333324;0.06789781693904877
34886;34954;-2.8128571428571423;0.2128092058329178
34959;34970;-9.3;0.3569355305934438
34975;35150;1.2800000000000011;0.18279024280847694
35155;35166;-9.3;0.3569355305934438
35171;35277;-1.4839999999999982;0.13813232989891205
35282;35333;-0.5722727272727273;0.0595557279070378
35338;36034;13.332721518987345;0.6905293442817667
36039;36052;-9.3;0.3569355305934438
36057;36447;9.965652173913046;0.7917297311175853
36449;36478;0.5199999999999996;0.08004986742222588
36482;36533;-0.6599999999999966;0.06856985401973446
