start;end;yule_k_characteristic
41000;41153;321.04637336504163
41155;41308;249.70273483947682
41310;41458;88.75739644970415
41461;41492;833.3333333333334
41495;41644;577.2569444444445
41646;41786;577.2569444444445
41788;41940;251.4792899408284
41942;42087;572.9166666666666
42090;42107;0.0
42112;42391;499.70255800118974
42395;42679;209.75056689342404
42683;42985;934.9030470914128
42989;43289;486.76748582230624
43293;43574;469.95835812016657
43578;43865;336.0
43869;44156;387.39669421487605
44160;44459;444.44444444444446
44463;44749;612.5
44753;45045;227.27272727272728
45048;45062;0.0
45065;46474;713.4562345768617
46478;50135;952.0816326530612
50139;51018;607.8532235939643
51027;51060;26666.666666666668
51064;52213;653.6928730396977
52217;52588;294.2925089179548
52591;52614;166.66666666666666
52617;52770;166.66666666666666
52772;52920;534.9794238683128
52922;53064;503.47222222222223
53066;53216;214.0309155766944
53219;53246;404.4117647058824
53249;53458;404.4117647058824
53460;53682;404.4117647058824
53684;53877;195.91836734693877
53879;54076;351.5625
54078;54292;670.3397612488521
54294;54510;937.5
54512;54733;318.5595567867036
54735;54937;429.6875
54939;55153;634.765625
55156;55192;0.0
55195;55604;505.78512396694214
55606;55998;754.4378698224853
56001;56008;0.0
56011;56255;1388.888888888889
56257;56528;1111.111111111111
56530;56548;0.0
56553;57138;665.6804733727811
57142;57899;854.4921875
57903;58336;435.36683687180863
58340;58712;363.1886734379809
58716;59156;390.2662993572084
59160;59749;709.8221438871975
59752;59774;0.0
59777;60041;497.5662520281233
60043;60317;266.6666666666667
60319;60611;782.380013149244
60613;60893;437.3177842565598
60895;61163;199.18515165233137
61165;61423;194.6998377501352
61425;61688;371.900826446281
61691;61703;0.0
61706;62285;698.6059926293863
62289;62647;278.35587929240376
62651;63490;681.7628439250061
63494;64051;268.5121107266436
64055;64549;271.20315581854044
64553;64896;540.0
64899;64905;0.0
64908;65057;729.1666666666666
65059;65210;233.33333333333334
65212;65365;567.1077504725898
65367;65525;768.1755829903979
65527;65680;528.0
65682;65818;113.42155009451795
65820;65982;369.8979591836735
65985;66000;0.0
66003;66654;324.8930512197942
66657;66673;0.0
66676;66875;755.5555555555555
66877;67065;533.3333333333334
67067;67257;284.66483011937555
67259;67468;320.06920415224914
67470;67669;300.9259259259259
67671;67868;829.0816326530612
67870;68068;332.98647242455775
68070;68266;410.15625
68268;68473;303.030303030303
68475;68694;566.40625
68696;68886;408.16326530612247
68888;69075;312.2130394857668
69077;69280;587.6951331496786
69282;69485;146.09203798392988
69487;69684;772.8894173602854
69686;69889;878.90625
69892;69904;0.0
69909;71888;791.055235830024
71891;71936;0.0
71939;72141;358.1267217630854
72143;72356;596.8778696051423
72358;72566;465.3061224489796
72568;72783;1155.5555555555557
72785;72998;236.73469387755102
73000;73217;1566.6666666666667
73219;73438;320.06920415224914
73440;73655;578.5123966942149
73657;73889;465.3061224489796
73891;74092;493.0795847750865
74094;74306;311.6343490304709
74308;74525;468.26222684703436
74527;74738;371.97231833910035
74741;74746;0.0
74749;74986;44.44444444444444
74988;75235;824.4897959183673
75237;75484;735.2941176470588
75486;75713;544.9826989619377
75715;75955;510.38062283737025
75958;75980;0.0
75983;76260;612.730517549078
76262;76527;620.891161431702
76529;76794;216.94214876033058
76796;77066;430.97151205259314
77069;77089;61.98347107438016
77094;79196;1029.3780363211777
79200;80527;759.6785975164354
80531;81223;698.7654320987655
81227;83129;906.1127423621053
83132;83148;0.0
83153;83581;488.8888888888889
83585;84022;819.6159122085048
84026;84456;578.6395814096645
84460;84876;571.900826446281
84880;85311;616.6666666666666
85315;85762;534.6402316774337
85765;85778;0.0
85786;85926;793.9508506616257
85933;86096;718.3364839319471
86103;86250;619.8347107438017
86257;86414;416.0
86421;86574;754.4378698224853
86581;86727;224.0
86734;86896;416.0
86903;87056;816.3265306122449
87063;87209;312.5
87216;87358;400.0
87365;87506;357.6278859212313
87513;87669;390.12345679012344
87672;87681;0.0
87683;87692;0.0
87695;88346;223.82271468144043
88349;88358;0.0
88360;88369;0.0
88372;89031;928.719723183391
89034;89059;0.0
89062;89332;677.1860618014464
89334;89621;411.1531190926276
89623;89909;459.7079502433748
89911;90202;316.8854685377999
90205;90216;0.0
90219;91529;563.106008357337
91531;91886;435.5281207133059
91889;91914;384.0
91917;92057;384.0
92059;92180;317.46031746031747
92182;92312;521.5419501133787
92314;92434;408.16326530612247
92436;92564;600.4756242568371
92566;92695;600.4756242568371
92697;92836;600.4756242568371
92838;92976;793.9508506616257
92978;93107;104.16666666666667
93110;93133;0.0
