start;end;yule_k_characteristic
142802;143193;249.932813759742
143195;143286;249.30747922437672
143288;143499;233.7472607742878
143501;143532;612.2448979591836
143534;143640;648.1481481481482
143642;144439;282.99319727891157
144441;144691;211.77685950413223
144693;144986;213.85609267097348
144988;145312;229.5684113865932
145314;145498;118.51851851851852
145500;145888;437.0575561711296
145890;146218;220.0
146220;146462;249.83563445101908
146464;147123;492.1579232017307
147125;147211;333.7278106508876
147213;147322;310.6508875739645
147324;147554;429.3628808864266
147556;147807;442.17687074829934
147809;147998;285.7142857142857
148000;148109;254.62962962962962
148111;148226;452.1181915272339
148228;148254;321.04637336504163
148256;148502;600.8328375966687
148504;148547;177.5147928994083
148549;148860;421.59763313609466
148862;148913;537.1900826446281
148915;149539;708.7334247828074
149541;149596;266.6666666666667
149598;149982;353.9550630963373
149984;150045;234.375
150047;151158;822.3211720769893
151160;151242;664.0625
151244;152286;481.28
152288;152402;295.1388888888889
152404;153057;257.5614366729679
153059;153883;458.0
153885;154137;268.75
154139;154215;666.6666666666666
154217;154584;632.396449704142
154586;154621;740.7407407407408
154623;154789;155.70934256055364
154791;155149;267.3469387755102
155151;155515;218.5287780855648
155517;155796;476.1904761904762
155798;157474;790.4499540863177
157476;157842;577.2569444444445
157844;158084;187.0748299319728
158086;158568;321.36105860113423
158570;158892;459.2381630473478
158894;159834;446.8931741659014
159836;160258;528.1207133058984
160260;160385;886.4265927977839
160387;160624;219.1380569758948
160626;161364;248.48090277777777
161366;162028;217.9944510503369
162030;163168;887.3365041617122
163170;163987;671.4681440443213
163989;164696;419.5011337868481
164698;166163;307.1800208116545
166165;166235;898.4375
166237;166522;392.15686274509807
166524;166629;385.4875283446712
166631;166727;117.1875
166729;166864;164.6090534979424
166866;166924;416.6666666666667
166926;167036;204.08163265306123
167038;167110;234.375
167112;167820;419.14548404542995
167822;168230;384.3052942757323
168232;168424;514.2857142857143
168426;168523;136.05442176870747
168525;168928;538.049940546968
168930;169935;316.162109375
169937;170036;600.0
170038;170220;171.42857142857142
170222;170558;603.5665294924554
170560;170627;550.0
170629;171116;474.537037037037
171118;171597;214.12037037037038
171599;172199;416.41879833432483
172201;172664;324.70703125
172666;173089;273.9304401354263
173091;174090;425.6
174092;174293;233.80811609782316
