start;end;yule_k_characteristic
49700;49813;291.36316337148804
49818;49848;140.30612244897958
49853;49975;293.3673469387755
49980;50097;82.3045267489712
50102;50399;245.53571428571428
50404;50503;1835.9375
50508;50954;266.6666666666667
50959;51421;313.49026708918063
51426;51534;739.6449704142012
51539;51567;472.5897920604915
51572;51601;0.0
51606;51694;0.0
51698;51721;0.0
51726;51939;311.6343490304709
51944;52032;413.22314049586777
52037;52094;266.2721893491124
52099;52198;392.56198347107437
52203;52349;216.26297577854672
52354;52600;234.375
52605;52633;0.0
52638;52742;236.68639053254438
52747;52778;140.30612244897958
52783;52902;156.08740894901143
52907;52981;321.3957759412305
52986;53112;93.75
53117;53232;255.80011897679952
53237;53275;681.8181818181819
53280;53379;861.6780045351474
53384;53564;235.40063377093708
53569;53825;243.05555555555554
53830;54084;377.6041666666667
54089;54332;185.1192595229619
54337;54658;426.53061224489795
54663;54749;470.9141274238227
54754;54785;52.083333333333336
54790;55728;533.1544382458866
55733;55788;142.6872770511296
55793;56045;412.3263888888889
56050;56520;461.0912934337429
56525;56627;100.0
56632;56837;407.6265614727153
56842;57236;282.36914600550966
57241;57580;284.0651878678135
57585;57816;254.82093663911846
57821;57900;163.26530612244898
57905;57994;71.3436385255648
57999;58278;156.63937344250624
58280;58305;0.0
58309;58336;0.0
58341;58688;332.6474622770919
58693;58836;180.05540166204986
58840;58871;0.0
58876;59011;218.52237252861602
59016;59108;154.95867768595042
59113;59237;142.77215942891135
59242;59280;104.16666666666667
59285;59397;826.4462809917355
59402;59419;247.93388429752065
59424;59444;612.2448979591836
59449;59836;481.7708333333333
59841;60016;413.22314049586777
60021;60046;277.77777777777777
60051;60171;370.3703703703704
60176;60202;136.05442176870747
60207;60453;208.33333333333334
60455;61039;254.3904958677686
61044;62497;753.0522211962655
62502;62576;570.6521739130435
62581;63845;629.7067777599743
63850;63871;427.35042735042737
63876;64015;211.20293847566575
64020;64070;207.61245674740485
64075;64142;864.1975308641976
64147;64783;243.6484798000833
64788;64879;178.22265625
64884;65184;290.90909090909093
65189;65244;178.57142857142858
65249;65459;325.0
65464;65479;0.0
65481;65492;0.0
65496;65636;153.0612244897959
65641;65816;246.91358024691357
65821;65976;318.8775510204082
65978;65985;0.0
65987;66000;0.0
66004;68500;976.1919523839048
68502;68506;2892.561983471074
68508;68584;2892.561983471074
68588;68755;62.43496357960458
68760;68862;162.24986479177934
68867;69021;140.61654948620875
69026;69085;75.0
69090;69137;0.0
69142;69211;432.0987654320988
69216;69512;263.37006181134103
69517;69613;300.23781212841857
69618;69780;278.92561983471074
69785;69809;68.02721088435374
69811;69818;0.0
69822;70195;366.8054110301769
70200;70414;255.80011897679952
70419;70445;321.23735871505056
70450;70744;209.2951677439212
70749;71031;198.37333862328904
71033;71040;0.0
71042;71055;0.0
71059;72590;796.734693877551
72595;72700;322.22222222222223
72705;72817;1058.601134215501
72822;72857;1005.9171597633136
72862;73114;334.4867358708189
73119;73163;833.3333333333334
73168;73317;451.3888888888889
73322;73642;283.3333333333333
73647;73691;133.33333333333334
73696;73826;222.22222222222223
73831;73860;300.0
73865;74418;298.7654320987654
74423;74525;150.89163237311385
74530;74566;0.0
74571;74896;390.88950446291165
74901;74937;0.0
74942;75356;589.9908172635445
75358;75370;0.0
75374;75965;924.5152354570637
75969;77106;330.57851239669424
77111;77179;222.22222222222223
77181;77188;0.0
77190;77236;0.0
77240;77987;513.2129374553617
77992;78020;0.0
78025;79071;722.9132864611502
79076;79137;636.1474435196195
79142;79550;268.85108170552405
79552;79565;0.0
79567;79614;833.3333333333334
79616;79719;204.08163265306123
79724;79755;416.6666666666667
79757;79771;0.0
79773;79832;208.33333333333334
79834;79841;0.0
79843;79857;0.0
79861;79926;355.0295857988166
79931;80010;113.42155009451795
80015;80036;150.0
80041;81456;471.2720142852141
81461;81734;351.1966701352758
81738;81804;0.0
81809;81949;142.6872770511296
81954;82024;145.68158168574402
82029;82162;321.4024835646457
82167;82274;561.2244897959183
82279;82418;237.9535990481856
82423;82464;185.1851851851852
82469;82518;185.1851851851852
82523;82611;216.83673469387756
82616;82670;1005.9171597633136
82675;82752;1020.4081632653061
82757;82850;340.13605442176873
82855;82917;1250.0
82922;83082;174.47199265381084
83087;83129;454.54545454545456
83134;83513;398.75250612608596
83515;83551;0.0
83553;84216;764.2998027613412
84218;84225;0.0
84229;84321;533.3333333333334
84326;84473;183.65472910927457
84478;84638;368.82807852468767
84643;84716;607.6388888888889
84718;84814;311.4186851211073
84819;84896;195.3125
84901;84948;0.0
84952;85232;308.2747431043807
85237;85671;493.0795847750865
85676;86048;773.4072022160665
86053;86076;522.2222222222222
86081;86250;455.55555555555554
86255;87571;590.2185223725286
87576;87842;353.9550630963373
87847;87879;373.5207100591716
87884;88017;73.46189164370982
88022;88050;212.24489795918367
88052;88059;208.33333333333334
88061;88105;208.33333333333334
88107;88111;0.0
88115;88193;92.5925925925926
88198;88231;0.0
88236;88368;600.0
88373;88748;349.1512345679012
88750;88789;0.0
88794;88830;0.0
88835;88921;170.13232514177693
88926;88968;453.51473922902494
88973;89027;692.0415224913495
89032;89060;0.0
89065;89201;150.89163237311385
89206;89498;849.6459808413161
89500;89531;0.0
89535;89718;179.59183673469389
89723;89743;276.8166089965398
89748;89783;0.0
89788;89836;0.0
89841;89871;247.93388429752065
89876;89904;2400.0
89906;89913;0.0
